Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Odds Close,Away Odds Close,Winning Team,lat,long,Weather
2025-03-30,15:10:00,West Coast,Fremantle,Optus Stadium,68,106,0,4.25,1.24,Fremantle,-31.9511355,115.8890382,3.0
2025-03-30,14:50:00,Adelaide,North Melbourne,Adelaide Oval,114,78,0,1.14,6.25,Adelaide,-34.9156274,138.5963065,0.0
2025-03-29,18:35:00,Brisbane,Geelong,Gabba,70,61,0,1.44,2.9,Brisbane,-27.4858376,153.0380853,57.2
2025-03-29,19:35:00,Hawthorn,GWS Giants,UTAS Stadium,76,64,0,1.54,2.5,Hawthorn,-41.4259371,147.1391665,0.0
2025-03-29,16:15:00,St Kilda,Richmond,Marvel Stadium,135,53,0,1.24,4.25,St Kilda,-37.8165647,144.9475055,3.3
2025-03-29,13:20:00,Melbourne,Gold Coast,MCG,62,120,0,2.15,1.75,Gold Coast,28.4594965,77.0266383,0.0
2025-03-28,19:40:00,Carlton,Western Bulldogs,Marvel Stadium,75,83,0,1.97,1.87,Western Bulldogs,-37.8165647,144.9475055,0.0
2025-03-27,19:30:00,Essendon,Port Adelaide,Marvel Stadium,72,60,0,2.25,1.68,Essendon,-37.8165647,144.9475055,0.0
2025-03-23,15:10:00,Fremantle,Sydney,Optus Stadium,65,68,0,1.7,2.22,Sydney,-31.9511355,115.8890382,0.0
2025-03-23,15:20:00,North Melbourne,Melbourne,Marvel Stadium,125,66,0,3.1,1.4,North Melbourne,-37.8165647,144.9475055,0.0
2025-03-23,12:10:00,Brisbane,West Coast,Gabba,94,75,0,1.015,21.0,Brisbane,-27.4858376,153.0380853,1.6
2025-03-22,19:35:00,St Kilda,Geelong,Marvel Stadium,98,91,0,3.5,1.333,St Kilda,-37.8165647,144.9475055,3.2
2025-03-22,15:45:00,Port Adelaide,Richmond,Adelaide Oval,140,68,0,1.12,6.75,Port Adelaide,-34.9156274,138.5963065,0.0
2025-03-22,13:20:00,Essendon,Adelaide,MCG,100,161,0,2.8,1.47,Adelaide,28.4594965,77.0266383,0.1
2025-03-21,19:40:00,Western Bulldogs,Collingwood,MCG,70,76,0,3.2,1.38,Collingwood,28.4594965,77.0266383,
2025-03-20,19:30:00,Carlton,Hawthorn,MCG,60,80,0,2.9,1.44,Hawthorn,28.4594965,77.0266383,
