Date,Round,Venue,A_Team,B_Team,Winner
2010-03-25 19:10:00,1,M.C.G.,Carlton,Richmond,Carlton
2010-03-26 19:40:00,1,M.C.G.,Essendon,Geelong,Geelong
2010-03-27 14:10:00,1,M.C.G.,Hawthorn,Melbourne,Hawthorn
2010-03-27 19:10:00,1,Gabba,West Coast,Brisbane Lions,Brisbane Lions
2010-03-27 19:10:00,1,Stadium Australia,St Kilda,Sydney,St Kilda
2010-03-28 12:40:00,1,Football Park,North Melbourne,Port Adelaide,Port Adelaide
2010-03-28 14:10:00,1,Docklands,Collingwood,Western Bulldogs,Collingwood
2010-03-28 17:10:00,1,Subiaco,Adelaide,Fremantle,Fremantle
2010-04-01 19:40:00,2,Gabba,Carlton,Brisbane Lions,Brisbane Lions
2010-04-03 14:10:00,2,M.C.G.,Melbourne,Collingwood,Collingwood
2010-04-03 17:40:00,2,Subiaco,Port Adelaide,West Coast,Port Adelaide
2010-04-03 19:10:00,2,Docklands,North Melbourne,St Kilda,St Kilda
2010-04-04 12:40:00,2,Football Park,Sydney,Adelaide,Sydney
2010-04-04 14:10:00,2,Docklands,Fremantle,Essendon,Fremantle
2010-04-04 16:40:00,2,M.C.G.,Western Bulldogs,Richmond,Western Bulldogs
2010-04-05 14:10:00,2,M.C.G.,Geelong,Hawthorn,Geelong
2010-04-09 19:40:00,3,Docklands,Collingwood,St Kilda,St Kilda
2010-04-10 14:10:00,3,Docklands,West Coast,North Melbourne,North Melbourne
2010-04-10 14:40:00,3,Football Park,Brisbane Lions,Port Adelaide,Brisbane Lions
2010-04-10 19:10:00,3,M.C.G.,Essendon,Carlton,Essendon
2010-04-10 19:10:00,3,S.C.G.,Richmond,Sydney,Sydney
2010-04-11 13:10:00,3,M.C.G.,Adelaide,Melbourne,Melbourne
2010-04-11 14:10:00,3,Docklands,Hawthorn,Western Bulldogs,Western Bulldogs
2010-04-11 14:40:00,3,Subiaco,Geelong,Fremantle,Fremantle
2010-04-16 18:40:00,4,Subiaco,Essendon,West Coast,West Coast
2010-04-17 14:10:00,4,Docklands,Sydney,North Melbourne,Sydney
2010-04-17 14:40:00,4,Football Park,Carlton,Adelaide,Carlton
2010-04-17 19:10:00,4,Gabba,Western Bulldogs,Brisbane Lions,Brisbane Lions
2010-04-17 19:10:00,4,M.C.G.,Hawthorn,Collingwood,Collingwood
2010-04-18 13:10:00,4,M.C.G.,Melbourne,Richmond,Melbourne
2010-04-18 14:10:00,4,Kardinia Park,Port Adelaide,Geelong,Geelong
2010-04-18 16:40:00,4,Docklands,Fremantle,St Kilda,St Kilda
2010-04-23 19:40:00,5,Docklands,Adelaide,Western Bulldogs,Western Bulldogs
2010-04-24 14:15:00,5,S.C.G.,West Coast,Sydney,Sydney
2010-04-24 19:10:00,5,M.C.G.,Brisbane Lions,Melbourne,Melbourne
2010-04-24 19:15:00,5,Football Park,St Kilda,Port Adelaide,Port Adelaide
2010-04-25 14:40:00,5,M.C.G.,Essendon,Collingwood,Collingwood
2010-04-25 17:40:00,5,York Park,North Melbourne,Hawthorn,North Melbourne
2010-04-25 18:45:00,5,Subiaco,Richmond,Fremantle,Fremantle
2010-04-26 14:10:00,5,M.C.G.,Geelong,Carlton,Carlton
2010-04-30 19:40:00,6,Docklands,St Kilda,Western Bulldogs,St Kilda
2010-05-01 14:10:00,6,Docklands,Melbourne,North Melbourne,North Melbourne
2010-05-01 14:40:00,6,Football Park,Port Adelaide,Adelaide,Port Adelaide
2010-05-01 19:10:00,6,M.C.G.,Hawthorn,Essendon,Essendon
2010-05-01 19:10:00,6,S.C.G.,Brisbane Lions,Sydney,Sydney
2010-05-02 13:10:00,6,Kardinia Park,Richmond,Geelong,Geelong
2010-05-02 14:10:00,6,M.C.G.,Collingwood,Carlton,Collingwood
2010-05-02 14:40:00,6,Subiaco,Fremantle,West Coast,Fremantle
2010-05-07 19:40:00,7,M.C.G.,Western Bulldogs,Melbourne,Western Bulldogs
2010-05-08 13:10:00,7,Subiaco,Hawthorn,West Coast,West Coast
2010-05-08 14:10:00,7,Docklands,Port Adelaide,Essendon,Port Adelaide
